id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
73,32,JAWA BARAT,3271,KOTA BOGOR,1231,ORANG,2017/2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,478,ORANG,2017/2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,3805,ORANG,2017/2018
76,32,JAWA BARAT,3274,KOTA CIREBON,751,ORANG,2017/2018
77,32,JAWA BARAT,3275,KOTA BEKASI,2366,ORANG,2017/2018
78,32,JAWA BARAT,3276,KOTA DEPOK,1103,ORANG,2017/2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,545,ORANG,2017/2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,835,ORANG,2017/2018
81,32,JAWA BARAT,3279,KOTA BANJAR,194,ORANG,2017/2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3125,ORANG,2018/2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1352,ORANG,2018/2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1335,ORANG,2018/2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2305,ORANG,2018/2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,873,ORANG,2018/2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2144,ORANG,2018/2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1167,ORANG,2018/2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,826,ORANG,2018/2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,939,ORANG,2018/2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,825,ORANG,2018/2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1189,ORANG,2018/2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1156,ORANG,2018/2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1091,ORANG,2018/2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,634,ORANG,2018/2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1312,ORANG,2018/2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2352,ORANG,2018/2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1210,ORANG,2018/2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,236,ORANG,2018/2019
100,32,JAWA BARAT,3271,KOTA BOGOR,3833,ORANG,2018/2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,1203,ORANG,2018/2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,465,ORANG,2018/2019
103,32,JAWA BARAT,3274,KOTA CIREBON,757,ORANG,2018/2019
104,32,JAWA BARAT,3275,KOTA BEKASI,2416,ORANG,2018/2019
105,32,JAWA BARAT,3276,KOTA DEPOK,1152,ORANG,2018/2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,543,ORANG,2018/2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,828,ORANG,2018/2019
108,32,JAWA BARAT,3279,KOTA BANJAR,192,ORANG,2018/2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,3314,ORANG,2019/2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1447,ORANG,2019/2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1424,ORANG,2019/2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2391,ORANG,2019/2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2146,ORANG,2019/2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1229,ORANG,2019/2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,848,ORANG,2019/2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,900,ORANG,2019/2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1150,ORANG,2019/2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,811,ORANG,2019/2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,868,ORANG,2019/2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1122,ORANG,2019/2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1173,ORANG,2019/2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,643,ORANG,2019/2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1361,ORANG,2019/2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2444,ORANG,2019/2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1261,ORANG,2019/2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,235,ORANG,2019/2020
127,32,JAWA BARAT,3271,KOTA BOGOR,1143,ORANG,2019/2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,437,ORANG,2019/2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,3662,ORANG,2019/2020
130,32,JAWA BARAT,3274,KOTA CIREBON,709,ORANG,2019/2020
131,32,JAWA BARAT,3275,KOTA BEKASI,2404,ORANG,2019/2020
132,32,JAWA BARAT,3276,KOTA DEPOK,1231,ORANG,2019/2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,514,ORANG,2019/2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,791,ORANG,2019/2020
135,32,JAWA BARAT,3279,KOTA BANJAR,191,ORANG,2019/2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,20859,ORANG,2020/2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10060,ORANG,2020/2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12279,ORANG,2020/2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15766,ORANG,2020/2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,13427,ORANG,2020/2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9184,ORANG,2020/2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6864,ORANG,2020/2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6753,ORANG,2020/2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,9833,ORANG,2020/2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7076,ORANG,2020/2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6846,ORANG,2020/2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8401,ORANG,2020/2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,8542,ORANG,2020/2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4947,ORANG,2020/2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10345,ORANG,2020/2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,14485,ORANG,2020/2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7351,ORANG,2020/2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2618,ORANG,2020/2021
154,32,JAWA BARAT,3271,KOTA BOGOR,4997,ORANG,2020/2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,1768,ORANG,2020/2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,10337,ORANG,2020/2021
157,32,JAWA BARAT,3274,KOTA CIREBON,2084,ORANG,2020/2021
158,32,JAWA BARAT,3275,KOTA BEKASI,12278,ORANG,2020/2021
159,32,JAWA BARAT,3276,KOTA DEPOK,7585,ORANG,2020/2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,2164,ORANG,2020/2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3356,ORANG,2020/2021
162,32,JAWA BARAT,3279,KOTA BANJAR,1050,ORANG,2020/2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,19848,ORANG,2021/2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9300,ORANG,2021/2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11418,ORANG,2021/2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15011,ORANG,2021/2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,12549,ORANG,2021/2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8566,ORANG,2021/2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6260,ORANG,2021/2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6570,ORANG,2021/2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,8947,ORANG,2021/2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6556,ORANG,2021/2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6374,ORANG,2021/2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7759,ORANG,2021/2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,7978,ORANG,2021/2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4635,ORANG,2021/2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9827,ORANG,2021/2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,14522,ORANG,2021/2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6947,ORANG,2021/2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2320,ORANG,2021/2022
181,32,JAWA BARAT,3271,KOTA BOGOR,5050,ORANG,2021/2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,1725,ORANG,2021/2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,9845,ORANG,2021/2022
184,32,JAWA BARAT,3274,KOTA CIREBON,2039,ORANG,2021/2022
185,32,JAWA BARAT,3275,KOTA BEKASI,11880,ORANG,2021/2022
186,32,JAWA BARAT,3276,KOTA DEPOK,7521,ORANG,2021/2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,2034,ORANG,2021/2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3191,ORANG,2021/2022
189,32,JAWA BARAT,3279,KOTA BANJAR,1014,ORANG,2021/2022
